"item","value"
"projection_version","bootstrap_constraints anchored projection"
"projection_mode","Climate-response projection with phenotype-specific temperature-direction constraints, lag-selection uncertainty, empirical recursive-residual uncertainty calibration, and four-GCM bootstrap uncertainty"
"climate_zone_rule","Polar if |lat| > 66.5; Temperate if 23.5 < |lat| <= 66.5; Tropical otherwise"
"weight_derivation","Weights derived from refined simplified GAMM climate terms using F_stat x EDF x significance factor, then bounded to [0.05, 0.70] and normalized"
"response_lookup_scaling","Global scaling across each bacteria-specific model-ready dataset"
"response_lookup_anchor","Zone-specific baseline anchoring: Effect_OR = exp(term(x) - term(baseline climate in 2010-2019 for that zone))"
"response_lookup_support","Exposure support capped to empirical 1th-99th percentiles"
"response_lookup_extrapolation","Future exposures outside historical support use linear tail extrapolation of the response lookup, while log-SE remains support-clamped and support-edge regularized"
"temperature_tail_constraint","Monotonic directional constraints applied to temperature response above the 50th percentile of support (and above zone baseline) for CR-Ab increasing, 3GCR-Kp increasing, and CR-Ec decreasing, with tail log-SE stabilized to the local boundary neighborhood"
"recursive_uncertainty_calibration","Recursive stochasticity calibrated from historical observed-versus-fitted residual series using bacterium-specific AR(1)-style persistence and innovation SD estimates, combined across global and climate-zone annual fits"
"support_edge_log_se_regularization","All climate-response lookup curves use support-edge log-SE regularization to cap boundary spikes against the adjacent interior median without altering the central fitted effect"
"response_or_bounds","0.5, 2"
"future_climate_models","GFDL-ESM4, MIROC6, MRI-ESM2-0, NorESM2-LM"
"uncertainty_mode","95% CI from four-GCM spread, empirically calibrated recursive stochasticity, and response-function parameter uncertainty"
"gcm_spread_export","TRUE"
"n_monte_carlo_simulations","1000"
"outer_loop_weight_uncertainty","FALSE"
"outer_loop_memory_uncertainty","FALSE"
"lag_uncertainty","Lag uncertainty propagated by sampling simplified-model lag combinations with delta AIC <= 2.0 (up to four candidates per bacteria) using normalized Akaike weights"
"development_modifier","FALSE"
"modifier_calibration","Direct development modifier retained in codebase but disabled for this projection"
"direct_antibiotic_factor","FALSE"
"ssp_diffusion_modifier","TRUE; applied multiplicatively to diffusion_rate with scenario-specific net annual rates and ramp-up bounds"
"recursive_uncertainty_export","TRUE; bacterium-specific residual calibration exported to projection_recursive_uncertainty_calibration.csv"
"parameter_manifest_export","TRUE; phenotype-specific parameters exported to projection_parameter_manifest_by_bacteria.csv"
"method_alignment_audit_export","TRUE; manuscript-method consistency checkpoints exported to projection_method_alignment_audit.csv"
"uncertainty_audit_export","TRUE; CI-width and lag-ambiguity diagnostics exported to projection_uncertainty_audit_by_bacteria.csv"
