"item","implementation_status","method_scope","note"
"weights_from_simplified_model_c","Implemented","Projection weighting","Projection weights are derived from simplified Model C smooth-term statistics."
"zone_specific_baseline_anchoring","Implemented","Baseline anchoring","Projection responses are anchored to climate-zone-specific baseline values."
"historical_support_clamping_and_linear_tail","Implemented","Response lookup","Response lookups are clamped to historical support with linear extrapolation in the tails."
"ssp_linked_diffusion_modifier","Implemented","Scenario parameterization","The SSP-linked modifier is implemented as scenario parameterization rather than as a data-estimated socioeconomic effect."
"lag_uncertainty_propagation","Implemented","Lag uncertainty","Near-optimal lag combinations are sampled using normalized Akaike weights."
"historical_residual_calibrated_recursive_uncertainty","Implemented","Recursive uncertainty","Recursive stochasticity is calibrated from historical observed-versus-fitted residual series."
"crkp_special_stabilization_controls","Implemented","Phenotype-specific stabilization","CR-Kp projections apply phenotype-specific smoothing and growth-limit controls."
"directional_temperature_tail_constraints","Implemented","Directional temperature constraint","Temperature-direction constraints are applied to CR-Ab, 3GCR-Kp and CR-Ec."
"response_or_bounds","Implemented","Numerical safeguard","Global response odds ratios are restricted to the configured numerical bounds."
"support_edge_log_se_regularization","Implemented","Numerical safeguard","Support-edge log-standard-error regularization is applied without changing central response estimates."
