"item","aligned_with_original_main_methods","note","high_priority"
"weights_from_simplified_model_c","Yes","Consistent with projection strategy based on simplified Model C smooth-term statistics.",FALSE
"zone_specific_baseline_anchoring","Yes","Consistent with the projection workflow using climate-zone-specific baselines.",FALSE
"historical_support_clamping_and_linear_tail","Yes","Consistent with the projection-safe response lookup strategy already used in the revised workflow.",FALSE
"ssp_linked_diffusion_modifier","Partial","Scientifically defensible, but should be described as scenario parameterization rather than data-estimated socioeconomic effect.",FALSE
"lag_uncertainty_propagation","Partial","Now propagated by Akaike-weighted sampling of near-optimal lag combinations; this is stronger than the original best-lag-only description and must be added to Methods documentation.",TRUE
"historical_residual_calibrated_recursive_uncertainty","Partial","Recursive stochasticity is now calibrated from historical observed-versus-fitted residual series and should be described explicitly as an empirical uncertainty calibration step.",TRUE
"crkp_special_stabilization_controls","Partial","CR-Kp-specific smoothing and growth-limit controls are reasonable as a phenotype-specific stabilization treatment, but must be transparently described in Methods documentation.",TRUE
"directional_temperature_tail_constraints","No","Temperature-direction constraints are now applied only to phenotypes with independent Figure 2B support (CR-Ab increasing, 3GCR-Kp increasing, CR-Ec decreasing) and must be explicitly stated if retained in the main result.",TRUE
"response_or_bounds","Partial","Global OR clipping improves robustness but should be described as a stricter numerical guardrail in Methods documentation.",FALSE
"support_edge_log_se_regularization","Partial","Support-edge log-SE regularization reduces boundary spikes without altering central response estimates and should be documented as a projection-stability safeguard.",FALSE
